Incidencias;Bugs;Status
INC000003088592;KRATOS-13746;Done / Done
INC000003088594;TMCSDS-715;Done / Done
INC000003088967;ARCLMU-39101;Done / Done
INC000003089522;ARCLMU-39135;Done / Done
INC000003089663;FRONTMC-18773;Done / Done
INC000003089704;TEI-7939;Done / Done
INC000003090032;FRONTMC-18775;Done / Done
INC000003090453;MICRO-49228;Done / Done
INC000003090652;PRDIAS-16908;Done / Done
INC000003090652;INTEPS-15150;Done / Done
INC000003090710;FRONTAT-2263;Done / Done
INC000003091106;PAEOSP-20552;Done / Done
INC000003091116;FCOM-25368;Done / Done
INC000003091118;TEDTED-8012;Done / Done
INC000003091121;FCOM-25211;Done / Done
INC000003091410 ;TEI-7951;Done / Done
INC000003091559;INTEPS-15646;Done / Done
